trail,cluster,latitude,longitude
Cathedral Rock,2,44.1472,-74.90486
Catskill Scenic Trail,2,42.33302,-74.80488000000001
Caumsett Mountain Bike Trail,5,40.9160422,-73.47321509999999
Cayuga Lake Inlet Trail,5,42.4628,-76.50239
Cayuga Nature Center Trail,4,42.5185,-76.55699
Cayuga Trail,2,42.4597939,-76.43167559999999
Cayuta The Gulf,1,42.34926,-76.73702
Cedar Beach Trail,2,40.9619,-73.00437
Cedar Point Lighthouse Loop Trail,2,41.032309999999995,-72.22686999999999
Central Park  East and West Drive Loop,2,40.767959999999995,-73.97884
Central Park North Woods Trail,2,40.7846033,-73.958931
Chadwick Lake,3,41.55458,-74.06635
Charcoal Burners  Perkins and Fahnestock Trail Loop,2,41.4438,-73.86089
Chase Lake Trail,3,43.20684,-74.39068
Chaumont Barrens Preserve,2,44.10159,-76.07401
Chautauqua Alison Wells Ney Trail,4,42.381859999999996,-79.45255
Cheney Mountain,0,44.079646999999994,-73.48209859999999
Cherry Plain State Park Loop,3,42.61993,-73.41207
Chester Creek Trail,3,43.65064,-73.80268000000001
Chestnut Ridge,4,42.72688,-78.75336999999999
Chestnut Ridge Orienteering and Boy Scout Trails,4,42.72385,-78.75408
Chimney Bluffs Loop,5,43.281352899999995,-76.9220316
Chimney Mountain Trail,0,43.68802,-74.22997
Chimney Top Trail,0,41.397890000000004,-73.89132
Chippewa Falls Trail,4,42.70735,-75.91424
Chittenango Falls,1,42.97821,-75.84266
Christie Mine - Big Hill Loop,4,41.185179999999995,-74.07485
Clark Gully,2,42.67334,-77.33758
Clark Tower Trail,4,42.680659999999996,-74.91363
Claudius Smith's Den,2,41.19475,-74.18457
Clausland Mountain Orange Trail,4,41.05583,-73.92856
Clay Pit Ponds Loop,4,40.539320000000004,-74.2323
Clear Pond Trail,2,43.73493,-74.21839
Cliff Trail Loop,4,42.63857,-74.01489000000001
Cliff Trail to Pulpit Rock Trail Loop,3,42.995,-76.09418000000001
Cobble Hill,2,44.29383,-73.9709
Cobble Lookout,0,44.40398,-73.8788
Codfish Point Trail,2,42.13333,-74.08583
Cohoes Falls Trail,1,42.78529,-73.71101
Cohotate Preserve Trail,2,42.24606,-73.84304
Cold Spring Harbor Trailhead to Lawrence Hill Road,2,40.86744,-73.46158
Como Lake Park Area Trails,2,42.88926,-78.65848000000001
Compass Rock,2,41.73857,-74.21839
Coney Island and Brighton Beach Boardwalk Trail,2,40.57513,-73.96376
Coney Mountain,0,44.10087,-74.52933
Congers Lake Trail and Boardwalk,3,41.13861,-73.93916999999999
Conklin Gully 12 Falls Trail,1,42.63505,-77.36749
Conklin Mountain Loop Via 7 Hills and Buck Trails,4,41.19847,-74.12913
Connecticut Hill Trail,4,42.349309999999996,-76.7371
Conner Bay and Ram's Head Loop,5,44.77548,-73.39453
Connetquot River State Park Preserve,3,40.748799299999995,-73.1519953
Conservation Trail,2,42.92228,-78.42146
Constitution Marsh Audubon Center and Sanctuary Trail,3,41.40425,-73.9343
Cook Mountain Preserve,2,43.81713,-73.43806
Cooper Kiln Pond Trail,2,44.405609999999996,-73.88459
Copperas Pond,3,44.33512,-73.8998
Corbin Hill and Pawling Nature Reserve via Appalachian Trail,2,41.59255,-73.58807
Corinth Reservoir to Redmond's Overlook,0,43.25072,-73.86246
Cougar Hill,4,43.661229999999996,-73.78482
Coxing Trail Loop,1,41.74471,-74.19722
Coyotes Den Trail,4,43.13624,-77.51338
Cranberry Bog Loop,3,40.9028,-72.67206999999999
Cranberry Lake Loop,2,44.13195,-74.9215
Cranberry Mountain Trail,4,41.5080912,-73.550173
Crandall Woods Trail,4,43.322648799999996,-73.66459609999998
Crane Mountain Loop Hike,2,43.53768,-73.96778
Crane Mountain Pond,0,43.53768,-73.96778
Crane Mountain via Crane Mountain Path,0,43.53756,-73.96793000000001
Creek  Fuller Mountain  and South Loop,4,41.212559999999996,-74.36955999999999
Crescent Trail  White Brook Loop,2,43.0702359,-77.3898411
Cross Bay and West Pond Loop Trail,3,40.617290000000004,-73.82354000000001
Dabes Diversion Loop,4,42.4885563,-76.1771103
Dam Overlook Trail,2,42.72741,-77.92011
Dater Mountain Loop Trail,0,41.171418200000005,-74.1769409
David A. Sarnoff Pine Barrens Preserve,4,40.90569,-72.65576999999999
David Weld Sanctuary Tour,2,40.90521,-73.2087
Dean Homestead Heritage Trail,2,43.4301,-73.92721999999999
Death Falls Trail,1,43.81276,-74.59617
Debar Mountain Trail,2,44.5863,-74.25503
Deckertown Falls (3 falls),1,42.3434,-76.8312
Deer Leap Trail,2,43.661229999999996,-73.54474
Deer Lick Nature Sanctuary Trail,2,42.419979600000005,-78.90525699999999
Deferiet Riverfront Trail,2,44.033640000000005,-75.68602
Delaware Park Trail,3,42.93162,-78.85505
Delaware and Hudson Rail-Trail  Granville to West Pawlet,2,43.40555,-73.26084
Dennings Point and Klara Sauer Trail,2,41.48894,-73.97404
Devil's Bathtub Trail,2,43.02378,-77.57404
Devil's Hole,2,43.133140000000004,-79.04800999999999
Devil's Path  Indian Mountain  Twin Mountain  Plateau Mountain Loop,0,42.13395,-74.10451
Devil's Path East to West,0,42.13398,-74.10434000000001
Devil's Path Red Trail,4,42.19208,-74.32434
Devil's Path to Hunter Mountain Loop,2,42.15927,-74.20363
Devil's Path to the Jimmy Dolan Notch Overlook and Twin Mountain Summit,2,42.13393,-74.1045
Devils Path Hike  Spruceton Road to Prediger Road,2,42.192058,-74.324331
Diamond Lake Loop,4,41.54175,-74.26993
Diamond Mountain Loop via Stony Brook and Pine Meadows,1,41.1739,-74.16818
Diamond Mountain Trail,2,41.17389,-74.16861999999999
Diamond Notch Falls via Diamond Notch Road,1,42.14835,-74.26465999999999
Diamond Notch Falls via Spruceton Road,1,42.18242,-74.26944
Dickinson Hill Fire Tower Trail,0,42.79053,-73.43336
Dix Mountain via Dix Trail,0,44.1311557,-73.7306213
Dix Range,0,44.02081,-73.82776
Dix Trail from Elk Lake Parking Area,0,44.0209653,-73.82829670000001
Donaldson Mountain  Mount Emmonds  Seward Mountain Loop,0,44.19178,-74.26341
Donaldson and Seward Mountain Trail,4,44.19211,-74.26359000000001
Doodletown Bridle Path Loop Trail,0,41.30093,-73.98595
Double Drop Falls (2 falls),2,42.96137,-77.0913
Doubletop and Graham Bushwhack,2,41.98985,-74.49710999999999
Dover Stone Church,1,41.73895,-73.57982
Dry Brook Ridge Trail,2,42.14397,-74.64941999999999
Dryer Road Park Trail,2,42.97175,-77.43989
Dunderberg Spiral Railway,2,41.281040000000004,-73.96298
Durand Eastman Park Trail,2,43.2250049,-77.55618100000001
Dutchess Rail Trail,2,41.58415,-73.80476999999999
Dyken Pond,2,42.72295,-73.43456
Eagle Cliff Falls,1,42.33605,-76.82987
Eagle Cliff and Mohonk Lake Trail,2,41.77885,-74.13568000000001
Eagle Hill Trail Loop,2,41.11179,-73.83731
Earl Cardot Eastside Overland Trail,2,42.21888,-79.18361999999999
Earl Reservoir Loop,3,41.3627792,-74.1369002
East Bay  Mudge Creek & Chimney Bluffs,5,43.29047,-76.90630999999999
East Drive  102nd Street Cutoff and West Drive Loop,1,40.77259,-73.96884
East Esker Trail,2,43.010220000000004,-77.56342
East Greenbush Loop,4,42.59667,-73.66481
East Mountain and Round Hill Loop,4,41.44446,-73.91490999999999
East Setauket,4,40.90744,-73.09014
Eastwood Meadows Trail,4,42.10034,-78.74968
Echo Cliff via Panther Mountain Trail,3,43.41109,-74.55771
Echo Lake,2,42.13333,-74.08583
Egbert via Appalachian Trail,4,41.572531299999994,-73.68101120000001
Eisenhower Park Loop,0,40.729279999999996,-73.57789
Elephant's Head Trail,3,44.7123192,-74.30686180000001
Elk Pen Loop Trail,2,41.2647,-74.15434
Ellicott Creek Trailway,2,43.02149,-78.82921999999999
Elm Ridge Trail Loop,2,42.31263,-74.19051999999999
Emery Park,2,42.715140000000005,-78.59272
Enfield Creek Gorge Trail,1,42.402440000000006,-76.58851
Enfield Creek Gorge Trail and Rim Trail Short Loop,1,42.40225,-76.58837
Enfield Falls Swimming Hole,2,42.39758,-76.55655
Erie Canal Heritage Trail,2,43.17017,-78.69321
Erie Canalway Trail  Pittsford to Spencerport,2,43.09168,-77.51174
Erie Canalway Trail  Warners to Camillus,2,43.07601,-76.32704
Erie Canalway Trail (Camillus to Jordan),2,43.063520000000004,-76.26913
Erie County Reforestation Area Trail,4,42.5292391,-78.5825443
Escarpment Loop  Kaaterskill Falls  Bastion Falls  and South Lake Loop,0,42.1961,-74.03883
Escarpment Trail,0,42.200759999999995,-74.05855
Escarpment Trail,0,42.650059999999996,-74.00095
Escarpment Trail  HWY 23 to North South Lake,0,42.3128938,-74.189837
Escarpment Trail to Burnt Knob,0,42.29648529999999,-74.16925429999999
Esker Brook Nature Trail,4,42.9742,-76.78397
Esopus Creek and Ashokan Reservoir,2,41.94781,-74.1819
Esther Mountain via Marble Mountain Rd,2,44.393609999999995,-73.85813
Eternal Flame Falls Trail,1,42.70212,-78.74788000000001
Excelsior Glen Falls (3 Falls) Trail,1,42.395179999999996,-76.85133
FDR State Park Road Loop,2,41.29278,-73.81692
Fair Haven Beach State Park Campground,5,43.34389,-76.6976
Fairport Reservoirs Trail,3,42.9441,-77.41654
Farmingville Hills County Park Trail,4,40.8356392,-73.0438613
Fawn Lake Trail,2,43.48194,-74.44416
Fellows Hill Trail,2,42.799170000000004,-76.02573000000001
Finch Hollow Nature Center Trail,2,42.16052,-75.98504
Finger Lakes Backbone Trail,2,42.499959999999994,-76.7896
Finger Lakes Trail,2,42.44317,-76.8134
Finger Lakes Trail to South Rim Trail,2,42.36851,-76.95815
Fire Island Beach Walk,2,40.62699,-73.2359
Fire Island Lighthouse Trail,2,40.62898,-73.22893
Fire Tower and Bare Rock Loop,2,41.19785,-74.25599
Fire Tower and Bare Rock Trail Loop,3,41.18696,-74.308
Fish Hatchery Trail,2,43.04787,-77.47631
Fishers Park Trail,2,43.00945,-77.47368
Fishkill Ridge  Scofield Ridge  and Casino Loop from Pocket Road,2,41.49703,-73.94963
Fishkill Ridge Loop via Overlook and Fishkill Ridge Trail,0,41.50788,-73.92841
Five Falls Loop,1,42.69885,-76.41649
Five Mile Mountain Trail,4,43.6612242,-73.5449243
Five Rivers Environmental Education Center Loop Trail,2,42.60986,-73.89008000000001
Floodwood Loop,0,44.341159999999995,-74.38405
Flume Knob,0,44.36619,-73.84134
Forest Park,2,43.33043,-75.74204
Fort Drum Trails,2,44.03232,-75.80275
Fort Hill Trail,2,42.961337799999995,-77.4320698
Fort Washington Park Greenway to Riverbank State Park,2,40.85241,-73.94135
Four Mile Creek Blue and Red Loop,2,43.265272700000004,-77.4194098
Franklin Gulf Trail,4,42.60882,-78.90204
Fred J. Cusimano Westside Overland Trail,2,42.02373,-79.5278
French Louis to West Lake Trail,3,43.587140000000005,-74.48541999999999
French Mountain,0,43.376740000000005,-73.70047
Friday Mountain and Balsam Cap from Moonhaw Rd,4,41.98452,-74.32775
Furnace and Indian Hill Loop Trail,2,41.26247,-74.17984
Galway Preserve,2,42.9994854,-74.0014391
Ganargua Creek Meadow Preserve Trails from Wilkinson Road,2,43.044,-77.34099
Ganondagan State Historic Site,2,42.96226,-77.41454
Gardiner County Park Loop,2,40.7008652,-73.2766233
Garnsey Park Trail,2,42.868320000000004,-73.87133
Genesee County Park and Forest Trail,2,42.8791011,-78.1194878
Genesee River (Charlotte Area),3,43.24615,-77.6133
Genesee River Gorge Trail,2,42.61804,-77.99619
Genesee Valley Greenway  Portageville to Nunda,4,42.55849,-78.048
Genesee Valley Greenway Trail Scottsville Branch,2,43.09858,-77.6862
Geneva Lakefront Trail,2,42.86484,-76.97986
George Washington Bridge,2,40.84883,-73.93994
Gertrude's Nose Trail,2,41.7292091,-74.23526290000001
Giant Ledge and Panther Mountain Trail,0,42.02665,-74.40391
Giant Ledge from Woodland,0,42.036359999999995,-74.35807
Giant Mountain Peak via Ridge Trail,0,44.13837,-73.74376
Giant Mountain and Rocky Peak Ridge Trail,0,44.13842,-73.74364
Giant's Nubble via the Ridge Trail,0,44.13842,-73.74364
Gideon Putnam Trail,2,43.056596899999995,-73.8011312
Glacier 8 Trail,4,40.821798799999996,-73.1561136
Glacier Ridge Preserve Trail,4,40.84588,-73.01496
Gleasmans Falls Trail,1,43.80846,-75.27598
Glen Creek Gorge Trail,1,42.3751271,-76.8734407
Glen Falls Trail Loop,2,42.97289,-78.74833000000001
Glenmere Lake,2,41.33352,-74.33277
Glens Falls Feeder Canal Trail,3,43.29291,-73.6647
Glimmerglass Trail,3,42.79186,-74.86829
Good Luck Mountain and Lake Trail,2,43.25594,-74.53809
Goodman Mountain Trail,2,44.1158825,-74.535388
Goodnow Mountain Trail,2,43.969640000000005,-74.21455
Goose Pond Mountain MTB Trail,2,41.34564,-74.2261
Goose Pond Mountain Trail,2,41.3457,-74.22629
Goose Pond Trail,3,43.85924,-73.68836999999999
Gore Mountain via Schaefer Trail,2,43.69267,-73.99078
Gorge Trail Loop,1,42.52064,-77.69484
Gorge Trail and Indian Trail Loop,1,42.37579,-76.87191
Gorge Trail and Lovers Lane Loop,2,42.37514,-76.8734
Gorge and South Rim Loop,1,42.69874,-76.41622
