trail,badlands,beach,boardwalk,botanical_garden,bridge,canal/natural,cemetery,cliff,coast,creek,dam,desert/sand,desert_road,driveway,farm,field,field_road,forest,forest_path,golf_course,highway,hot_spring,islet,japanese_garden,lagoon,lake/natural,lawn,marsh,mountain,mountain_path,ocean,orchard,picnic_area,pond,river,sky,swamp,swimming_hole,trench,valley,vineyard,waterfall,watering_hole,young_forest,elevation,length,cluster
Allen Mountain Trail,0,0,0,0,0,0,0,0,0,0.124519418,0,0,0,0,0,0,0,0.074456724,0,0,0,0,0,0,0,0.021105777,0,0,0,0,0,0,0,0.040714448,0,0,0.050660356,0,0,0,0,0,0,0,0.051368304,0.041745283,2
Alley Pond Park Loop,0,0,0.007909703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102866373,0.494167576,0,0,0,0,0,0,0,0,0,0,0.020116331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003216946,0.00754717,4
Ampersand Mountain Trail,0,0,0,0,0,0,0,0,0,0,0,0,0.061513878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102035601,0,0,0,0.145882589,0,0,0,0.04374867,0.025588672,0.011320755,2
Anchor Diamond  Ballston Spa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293802491,0.299767197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015739607,0,0,0.294023773,0,0,0,0,0,0,0.05873057,0.001630507,0.005660377,4
Ann Lee Pond Preserve,0,0,0.151593003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134659152,0,0,0,0,0,0,0,0,0.106153472,0,0,0,0.073502038,0,0,0.103653822,0.000279096,0.005424528,2
Anthony Wayne Recreation Area Trail,0,0,0,0,0,0,0,0,0,0.073673751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005939355,0,0.008329774,0,0,0,0,0,0,0.014432674,0,0.056809983,0,0,0,0,0,0,0,0.012618065,0.011792453,2
Anthony's Nose,0,0,0,0,0,0,0,0,0,0,0.404049875,0,0,0,0,0,0,0,0,0,0,0.169975478,0,0,0,0,0,0,0.100894065,0,0,0,0,0,0.096594477,0,0,0,0,0.242085413,0,0,0,0,0.009915243,0.004481132,0
Anthony's Nose via Camp Smith Trail,0,0,0,0,0.041833035,0,0,0,0,0,0.460898448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142977127,0.071631542,0,0,0,0,0,0,0,0,0,0.497276398,0,0,0,0,0.026543473,0.01509434,0
Anthony's Nose via Camp Smith Trail,0,0,0,0,0.041833035,0,0,0,0,0,0.460898448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142977127,0.071631542,0,0,0,0,0,0,0,0,0,0.497276398,0,0,0,0,0.010062136,0.005188679,0
Appalachian  Long Path  White Bar  Dunning and Island Pond Road Loop,0,0,0,0,0,0,0,0,0,0.125318707,0,0,0,0,0,0,0,0.3219892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2700841,0,0.041234467,0,0.110423523,0,0,0,0,0,0,0,0.020520881,0.016981132,4
Appalachian Trail  Albany Post to Bear Mountain Bridge,0,0,0,0,0,0.143979385,0,0,0,0.037909939,0.679546438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129446097,0,0,0,0,0.100829889,0,0,0,0,0.038162669,0.024292453,2
Appalachian Trail  Bear Mountain to Harriman State Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040378817,0,0.228352846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083054855,0,0,0,0.054489187,0.044141193,0.031839623,2
Appalachian Trail  Bull's Bridge to Ten Mile Hill,0,0,0,0,0,0,0,0,0,0.260922545,0,0,0,0,0,0,0,0.182474722,0.046931356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056348059,0,0.015624921,0,0,0.013631623,0.010377358,2
Appalachian Trail  Canopus Lake to Graymoor,0,0,0,0,0,0,0,0,0,0.085927805,0,0,0,0,0,0.039855015,0,0,0,0,0,0,0,0,0,0.041132243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089440325,0,0,0,0,0.029877932,0.027358491,2
Appalachian Trail  Fitzgerald Falls to Little Dam Lake,0,0,0,0,0,0,0,0,0,0.211577749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089148511,0,0.045680195,0.033006742,0.026415094,2
Appalachian Trail  Fort Clinton to Dennytown,0,0,0,0,0,0,0,0,0,0,0,0.470634367,0.521607338,0,0,0.005396675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128716376,0,0,0,0,0.045830457,0.030188679,2
Appalachian Trail  Highway 17A to Bellvale Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0.096462835,0,0,0,0.029402272,0,0.181705547,0,0,0,0,0,0,0,0,0,0,0.168015489,0,0,0,0,0,0,0,0,0,0.09072018,0,0,0,0,0.01642258,0.019575472,2
Appalachian Trail  Highway 17A to Little Dam Lake,0.12906855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01913068,0.081356742,0,0,0,0,0,0,0,0,0.243012243,0.094059003,0,0,0,0,0.025103926,0.021698113,2
Appalachian Trail  Long Path to Elk Pen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.117593259,0,0.101995655,0,0.041848115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047314071,0.038443396,2
Appalachian Trail  Metro North to Manitou,0,0,0,0,0,0,0,0,0,0.100893654,0,0,0,0,0,0,0,0.689514157,0.178828528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.036204814,0.10972869,0.094811321,4
Appalachian Trail  Shenandoah Mountain to Cat Rocks,0.529390289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062868648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881540816,0,0,0,0,0.030303921,0.023584906,0
Appalachian Trail via Iron Mine Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057879694,0,0.04537981,0,0,0,0,0,0.180083469,0.116854154,0.049492571,0,0,0,0,0,0,0,0,0.013337838,0.0125,2
Aquaterra Pond and Overlook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053853513,0.156581494,0,0.029992704,0,0,0,0,0,0.082610853,0.153244576,0,0,0,0,0,0,0,0,0,0.007359314,0.005896226,3
Argyle Lake to Belmont Lake Loop,0,0,0,0.120769238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117377213,0.379317644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001145761,0.021462264,4
Armstrong Mountain via Weld Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50469797,0.291511251,0,0,0,0,0,0,0,0,0,0.422828459,0,0,0,0,0.066013485,0.034198113,0
Artist's Rock  Sunset Rock  and Newman's Ledge via Mary's Glen Trail,0,0,0,0,0,0,0,0,0,0.08238505,0,0,0,0,0,0.034277397,0,0.143254528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033885695,0,0,0,0.031957753,0.013337838,0.010849057,2
Artists Rock and Sunset Rock via Escarpment Trail,0,0,0,0,0,0,0.022802869,0,0,0,0,0,0,0,0,0,0,0.315235293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021990385,0,0,0,0,0,0,0,0.004818074,0.004245283,4
Artpark Trail,0,0,0,0,0,0,0,0.087424662,0.077635319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306299566,0.078583394,0,0,0,0,0,0,0,0,0.334760956,0,0,0,0,0,0,0,0,0,0.004377396,0.005660377,3
Ashokan High Point Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061275621,0,0,0,0,0,0,0,0,0,0,0.045386715,0,0,0,0,0,0,0,0,0,0,0.201779455,0,0,0,0.078054819,0.031949116,0.021933962,2
Astoria Park Loop Trail,0,0,0,0,1,0,0,0,0,0,0.322315305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763841,0.002830189,2
Aunt Sarah's Falls,0,0,0,0,0,0,0,0,0,0.196096823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133020163,0,0,0,0,0,0.057474245,0,0,0,0,0,0,0.623784028,0,0,8.81E-05,0.000235849,1
Ausable Chasm,0,0,0,0,0,0,0,0,0,0.180781252,0,0,0,0,0,0,0,0,0.056353805,0,0,0,0,0,0,0,0,0,0,0.030472888,0,0,0,0,0,0,0,0,0,0,0.005814988,0,0,0.374345355,0.004818074,0.004481132,2
Ausable River Trail,0,0,0,0,0,0,0,0,0,0,0.232278558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550480646,0,0,0,0,0,0,0,0.460669165,0,0,0.780444823,0,0,0,0,0,0.172366756,0,0.014395464,0.010613208,3
Avalanche Lake Mount Marcy Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090425634,0,0,0.176912078,0,0,0,0,0,0.282588995,0,0,0,0,0.241921989,0,0,0,0,0.055848524,0.041037736,0
Avalanche Lake and Wright Peak Loop Via Avalanche Pass Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03968933,0,0,0,0,0,0,0,0,0,0.213931705,0.305006795,0,0,0,0,0,0,0,0,0,0.357021604,0,0,0,0,0.056612365,0.026886792,0
Avalanche Pass Trail to Mount Colden Trail Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029752621,0,0,0,0,0,0,0,0,0,0,0.232327757,0.19450629,0,0,0,0,0,0,0,0,0,0.545547737,0,0,0,0,0.042789782,0.026886792,0
Avalanche Pass and Avalanche Lake Trail,0,0,0,0,0,0.026331761,0,0,0,0.20995705,0,0,0,0,0,0,0,0.093733525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147916862,0,0,0,0,0.11082992,0,0,0,0,0.019610147,0.023584906,2
Avalon East Farm Preserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073022821,0,0,0.222083198,0,0,0,0,0,0,0,0,0,0,0,0,0.088548856,0,0,0,0,0,0,0,0,0.528664053,0,0,0.0822067,0.004230504,0.008490566,2
Azure Mountain Firetower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158561495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098308507,0,0,0,0.147053204,0,0,0,0,0.013396595,0.004245283,2
Bailey Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023447068,0,0.14642368,0,0,0,0,0,0,0,0,0,0,0.080463003,0,0,0,0,0,0,0,0,0,0,0.089696038,0,0,0,0,0.006154795,0.007783019,2
Baker Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190718295,0,0,0,0,0,0,0,0,0,0,0.237429207,0,0,0,0,0.01291185,0.004009434,0
Baker Woods Preserve,0,0,0,0.192011406,0,0,0,0,0,0,0,0,0,0.077440895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186436426,0,0,0,0,0,0,0,0,0,0,0,0.001865535,0.006367925,2
Baker Woods Preserve Loop,0,0,0,0,0,0,0,0,0,0.055645742,0,0,0,0,0,0,0,0.235868137,0,0,0,0,0,0,0,0.080142823,0,0,0,0,0,0,0,0.195473341,0,0,0.627843699,0,0,0,0,0,0,0,0.001865535,0.006367925,3
Balanced Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012484044,0,0,0,0,0,0,0,0,0,0,0.113587552,0.144606276,0,0,0,0,0,0,0,0,0,0.248642061,0,0,0,0,0.012999985,0.006132075,0
Bald Hill and Lambs Hill via Wilkinson Memorial Trail,0,0,0,0,0,0,0,0,0,0.081579294,0,0,0,0,0,0,0,0.073121317,0,0,0,0,0,0,0,0.025913359,0,0,0,0,0,0,0,0.065086666,0.055444348,0,0,0,0,0,0,0,0,0,0.027659856,0.017924528,2
Bald Mountain (Rondaxe Fire Tower),0,0,0,0,0,0,0,0,0.05013426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037475991,0,0,0,0,0,0.004697305,0.018560564,0,0.005550521,0,0,0,0,0,0,0,0.006110728,0.004481132,2
Bald Mountain Via Cornel Mine Loop Trail,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65975215,0,0,0,0,0,0,0,0,0,0,0.651638099,0,0,0,0,0.032477929,0.018396226,0
Bald Peak,0.069889682,0,0,0,0,0,0,0.018584878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250452761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041394304,0.016509434,2
Bald Rocks Shelter via Kanawauke Road,0,0,0,0,0,0,0,0,0,0,0,0.192035821,1,0,0,0,0.334370182,0,0,0,0,0.30499275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436093476,0,0,0,0,0.008769482,0.006367925,0
Bald Rocks Shelter via White Bar  Dunning  Ramapo Dunderberg and Nurian Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230593439,0.18830785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189864799,0.011795467,0.008254717,4
Balm of Gilead Trail,0.07639772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153784904,0,0,0,0,0,0,0,0,0,0,0.623183936,0,0,0,0,0.007755923,0.004716981,0
Balsam Lake Mountain Wild Forest Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034931302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155079544,0,0,0,0,0,0,0,0,0.322670778,0,0,0.435850947,0.017348003,0.010141509,2
Balsam Mountain Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239828178,0.125206388,0,0,0,0.330199355,0,0,0,0,0,0,0.081800776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04655023,0.021698113,2
Balsam Mountain Via Oliverea-Mapledale and Pine Hill-West Branch Trail,0,0,0,0.010932261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191060656,0.158961167,0,0,0,0,0.016429477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030406745,0.013207547,2
Balsam Mountain from Rider Hollow Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109313746,0.064852882,0,0,0,0,0,0,0,0,0,0.081689898,0,0,0,0,0.025338954,0.012028302,2
Baltimore Woods Nature Center  Boundary Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016916279,0,0.01364166,0,0,0,0,0,0.059123768,0.016744627,0,0,0.013786759,0,0,0,0,0,0,0.004421464,0.005188679,2
Barberville Falls,0,0,0,0,0,0,0,0,0,0.477150146,0.098494628,0,0,0,0,0,0,0,0,0,0,0.164782436,0,0,0,0,0,0,0.021860071,0,0,0,0,0,0,0,0,0,0,0,0,0.740216157,0,0,0.000763841,0.002122642,1
Barberville Falls Ridge Trail,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.027654224,0,0,0,0,0,0,0.01125014,0,0,0,0,0,0.300899894,0,0,0,0,0.017258912,0,0,0,0,0.004612424,0.005188679,1
Bare Hill Unique Area Trail,0,0,0,0,0,0,0,0,0,0,0,0.083524257,0.095383599,0,0,0.024743142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07889181,0,0,0,0.132798747,0,0,0,0,0.002981918,0.004009434,2
Basalm Lake Mountain via Dry Brook Ridge Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044480052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028396008,0,0,0,1,0.017685856,0.013915094,2
Bash Bish Falls from Taconic State Park,0,0,0,0,0,0,0,0,0,0.422386913,0,0,0,0,0,0,0,0.082520422,0,0,0,0,0,0,0,0,0,0,0.118005153,0,0,0,0,0,0,0,0,0,0,0,0,0.374089451,0,0,0.00351073,0.003537736,1
Basin Mountain Saddleback Mountain Loop via Phelps Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086098115,0,0,0,0.057888403,0,0,0,0,0,0,0.656035597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060093717,0.035141509,2
Baxter Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061335745,0,0,0,0,0,0,0,0,0,0.222437162,0.225269845,0,0,0,0,0,0,0,0,0,0.624331829,0,0,0,0,0.010884733,0.005188679,0
Baxter Preserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707905439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081367152,0,0,0,0,0,0,0,0,0,0,0,0.161606181,0.002071184,0.004481132,2
Bayard Cutting Arboretum Loop,0,0.066170339,0,0,0,0,0,0,0.014968161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251421304,0.174216776,0,0,0,0,0,0,0,0,0.113548614,0,0,0,0,0,0,0,0,0,0.000661016,0.005424528,3
Beacon Fire Tower via Breakneck Ridge  Wilkinson and Notch Trails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01728029,0,0,0.131741561,0,0,0,0.147032023,0,0,0,0,0,0,0,0,0,0,0.656246555,0,0,0,0,0.034402221,0.021698113,0
Beacon Reservoir to South and North Beacon Mountains Loop via Fishkill Ridge Trail,0.007454301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098989293,0,0,0,0,0,0,0,0,0,0.101396558,0,0,0,0.034639684,0.022166077,0.012735849,2
Beacon Reservoir via the Fishkill Ridge Trail (White),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02819536,0.09300855,0,0.012537181,0,0,0,0,0,0,0.095195912,0,0,0,0,0.144366377,0,0,0,0,0.01291185,0.006132075,2
Bear Caves Mount Seneca Trail,0,0,0,0,0,0,0,0.100579756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140548517,0.32674076,0,0,0,0,0,0,0,0,0,0.049432766,0,0,0,0,0.019507323,0.00990566,2
Bear Cub  Cannonball  Fox  Raccoon and Chalet Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499390029,0,0,0,0,0,0,0,0,0,0,0.008735139,0.02647518,0,0,0,0,0,0,0,0,0,0.050416584,0,0,0,0,0.005537847,0.008018868,4
Bear Den,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065691808,0,0,0,0,0,0,0,0,0,0.210462645,0.444232614,0,0,0,0,0,0,0,0,0,0.234038166,0,0,0,0,0.021725399,0.007783019,0
Bear Den Trail to Dial Mountain and Nippletop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006007072,0,0,0,0,0,0,0,0,0,0,0,0,0.222945739,0.374564087,0,0,0,0,0,0,0,0,0,0.326642418,0,0,0,0,0.060578463,0.02995283,0
Bear Hill Preserve Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206801419,0.251003764,0,0,0,0,0,0,0,0,0,0.151135347,0,0,0,0,0.001204518,0.002830189,0
Bear Mountain Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026647364,0.037685199,0,0.013355903,0,0,0,0,0,0.020350212,0.058880234,0,0,0,0,0,0,0,0,0,0.015555915,0.008490566,2
Bear Mountain Trail from Cranberry Lake Campground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236148861,0.072599065,0,0,0,0,0,0,0,0,0.103930192,0,0.07392554,0,0,0.024244608,0,0,0,0,0.021637264,0.012264151,3
Bear Swamp Yellow Loop Trail,0,0,0,0,0,0,0,0,0,0.026201161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054256417,0,0,0,0,0,0.073775901,0,0,0.119475528,0,0,0,0,0,0.01204456,0,0.004612424,0.008018868,2
Bearpen Mountain Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04575523,0,0.214842915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144157999,0,0,0,0.101450799,0.020961558,0.012971698,2
Beatty Point Trail,0,0,0,0,0,0.428873101,0,0,0,0.021969875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14137222,0,0,0,0,0,0,0.067881172,0,0.026448892,0,0,0,0,0,0,0,0.000572881,0.005424528,2
Beaver Lake Nature Center  Lake Loop Trail,0,0,0.14049025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028871859,0.149182133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001292654,0.006603774,2
Beaver Meadow Nature Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016961729,0,0,0,0,0,0,0,0,0,0.080493028,0,0.03326618,0,0,0,0,0,0.121342844,0.064722397,0,0,0,0,0,0,0,0,0,0.000719773,0.002830189,2
Beaver Meadow Trail to West River Trail Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131918362,0,0.018122779,0,0,0,0,0.111373818,0,0,0,0.049344022,0,0,0,0,0.054599938,0.028773585,2
Beaver Tree Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173124414,0,0.115580428,0,0,0,0,0,1,0.081305326,0,0,0,0,0,0,0,0.091496962,0,0.000719773,0.001415094,3
Bee Trail Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382780011,0.281739855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606666,0.012264151,4
Beehunter Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17972418,0.285523382,0,0,0,0,0,0,0,0,0,0,0.019583952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235028,0.003537736,4
Belfrey Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196229731,0,0,0,0,0,0,0,0,0,0,0.098310789,0,0,0,0,0,0,0,0,0,0,0.362183517,0,0,0,0,0.001777399,0.001415094,0
Belleayre  Balsam  Haynes and Eagle Mountains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413578666,0.269294775,0,0,0,0,0,0,0,0,0,0,0.008714726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457717,0.025943396,4
Belmont Lake Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181491861,0,0.060532485,0,0,0,0,0,0.108916689,0.199120996,0,0,0,0,0,0,0,0.02104821,0,0.00019096,0.003066038,3
Bennett Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07220211,0.057592677,0,0,0,0.180381695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064321778,0.00703615,0.006367925,2
Berlin Mountain via Taconic Crest Trail,0,0,0,0,0,0,0,0,0,0.00437694,0,0,0,0,0,0.39343917,0,0.042139087,0.165447453,0,0,0,0,0,0,0,0,0,0,0.05774285,0,0,0,0,0,0,0,0,0,0.113215489,0,0,0,0.313788555,0.018552521,0.012735849,2
